spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],hidden_size,learning_rate,lstm_layers
395012,TFT_LARGE,1,0.27823979794159603,0.3917258222531582,1.1465907449612185,56.25392255594935,0.20512313840479085,1.8510913836478975,6.75521630897594e-05,0.0006096105393798452,64,0.0001,2
395012,TFT_LARGE,2,0.09429075033923429,0.46863923449184103,1.2868991595102381,64.91773683784524,0.20512313840479085,1.8510913836478975,6.75521630897594e-05,0.0006096105393798452,64,0.0001,2
395012,TFT_LARGE,3,0.03911212115672702,0.49425727368225225,1.3265102408781104,69.69518062689721,0.20512313840479085,1.8510913836478975,6.75521630897594e-05,0.0006096105393798452,64,0.0001,2
395012,TFT_LARGE,4,0.01310151259663328,0.5109026125742555,1.3443355207025214,73.11346143979131,0.20512313840479085,1.8510913836478975,6.75521630897594e-05,0.0006096105393798452,64,0.0001,2
395038,TFT_LARGE,1,0.8208095898824681,0.7501522064463287,1.5122781477565423,21.849692890171873,0.20512313840479085,1.8510913836478975,6.160529575285754e-05,0.000555944263733689,64,0.0001,2
395038,TFT_LARGE,2,0.7394467646083919,0.977893224522387,1.82430686851508,29.616052734407585,0.20512313840479085,1.8510913836478975,6.160529575285754e-05,0.000555944263733689,64,0.0001,2
395038,TFT_LARGE,3,0.7083429953752071,1.0554531688352449,1.925159636361971,33.36573718714596,0.20512313840479085,1.8510913836478975,6.160529575285754e-05,0.000555944263733689,64,0.0001,2
395038,TFT_LARGE,4,0.691170923152566,1.1035087401853045,1.9790839953890624,36.33352060002015,0.20512313840479085,1.8510913836478975,6.160529575285754e-05,0.000555944263733689,64,0.0001,2
395053,TFT_LARGE,1,0.7266619458879922,0.136854384241332,0.28096722091534304,47.22277696704547,0.20512313840479085,1.8510913836478975,6.457454187102838e-05,0.0005827396118744213,64,0.0001,2
395053,TFT_LARGE,2,0.6058883711707083,0.18108535461199263,0.3374215881484641,59.6262624732846,0.20512313840479085,1.8510913836478975,6.457454187102838e-05,0.0005827396118744213,64,0.0001,2
395053,TFT_LARGE,3,0.527056183607227,0.204914450693611,0.36970708865389373,66.98298720157669,0.20512313840479085,1.8510913836478975,6.457454187102838e-05,0.0005827396118744213,64,0.0001,2
395053,TFT_LARGE,4,0.4682355910440351,0.22415116663117307,0.392098415529578,72.31657167383337,0.20512313840479085,1.8510913836478975,6.457454187102838e-05,0.0005827396118744213,64,0.0001,2
395079,TFT_LARGE,1,0.2454793726727108,0.28332816022980767,0.7858786122095022,91.69891701754771,0.20512313840479085,1.8510913836478975,7.5967361197598e-05,0.0006855517561058189,64,0.0001,2
395079,TFT_LARGE,2,0.1480077366099084,0.32480668958829156,0.8349486675567547,100.55238930727941,0.20512313840479085,1.8510913836478975,7.5967361197598e-05,0.0006855517561058189,64,0.0001,2
395079,TFT_LARGE,3,0.1201945405730479,0.3422621927394541,0.8453502961571477,104.81433488516275,0.20512313840479085,1.8510913836478975,7.5967361197598e-05,0.0006855517561058189,64,0.0001,2
395079,TFT_LARGE,4,0.10693656541001162,0.3538283090406573,0.8495519906165075,107.6134964368589,0.20512313840479085,1.8510913836478975,7.5967361197598e-05,0.0006855517561058189,64,0.0001,2
395103,TFT_LARGE,1,0.683200220460487,0.6013994098222298,1.3088853238108025,18.908009510988993,0.20512313840479085,1.8510913836478975,8.066235145666227e-05,0.0007279207257035545,64,0.0001,2
395103,TFT_LARGE,2,0.5903895065294025,0.7517766301475136,1.4885740798237712,24.740014899396336,0.20512313840479085,1.8510913836478975,8.066235145666227e-05,0.0007279207257035545,64,0.0001,2
395103,TFT_LARGE,3,0.5324290352203391,0.8350927703218924,1.5907704334434685,28.34315494593056,0.20512313840479085,1.8510913836478975,8.066235145666227e-05,0.0007279207257035545,64,0.0001,2
395103,TFT_LARGE,4,0.5011264652406526,0.8809562163847736,1.643460785682177,30.809358686719275,0.20512313840479085,1.8510913836478975,8.066235145666227e-05,0.0007279207257035545,64,0.0001,2
395111,TFT_LARGE,1,0.4714348018208965,0.37530570842500655,0.9138499206681009,36.411623456297114,0.20512313840479085,1.8510913836478975,8.11191176275554e-05,0.0007320427176438959,64,0.0001,2
395111,TFT_LARGE,2,0.30950009464913997,0.4733567730718976,1.0445447731315818,45.71943434836222,0.20512313840479085,1.8510913836478975,8.11191176275554e-05,0.0007320427176438959,64,0.0001,2
395111,TFT_LARGE,3,0.24667512710454964,0.5188541242972288,1.0910738693925608,51.39048852583938,0.20512313840479085,1.8510913836478975,8.11191176275554e-05,0.0007320427176438959,64,0.0001,2
395111,TFT_LARGE,4,0.21560539184810057,0.5480837614804416,1.1135219846576296,55.42494556583747,0.20512313840479085,1.8510913836478975,8.11191176275554e-05,0.0007320427176438959,64,0.0001,2
395137,TFT_LARGE,1,0.48015315368454703,0.11006922072712738,0.2570868258541685,30.07946642725815,0.20512313840479085,1.8510913836478975,7.400877535412224e-05,0.0006678769028094633,64,0.0001,2
395137,TFT_LARGE,2,0.25547774197807493,0.1480920116826813,0.3077007711679336,41.87373101088538,0.20512313840479085,1.8510913836478975,7.400877535412224e-05,0.0006678769028094633,64,0.0001,2
395137,TFT_LARGE,3,0.18523840153905358,0.16665643874309874,0.3219549140124327,49.420270590789706,0.20512313840479085,1.8510913836478975,7.400877535412224e-05,0.0006678769028094633,64,0.0001,2
395137,TFT_LARGE,4,0.1604947486372047,0.17989495359264535,0.3270363407836795,54.95730972885456,0.20512313840479085,1.8510913836478975,7.400877535412224e-05,0.0006678769028094633,64,0.0001,2
395145,TFT_LARGE,1,0.2564015530671664,0.32641159598681335,0.9258789590650921,32.032351779863646,0.20512313840479085,1.8510913836478975,4.869701260471723e-05,0.0004394561293426455,64,0.0001,2
