spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],lstm_units,dropout,learning_rate,n_dense_layers
395012,LSTM,1,0.2854763436791178,0.39011417301530055,1.1408282638077425,53.26047243867563,0.025101892032305034,0.22652683854009528,4.960597359696518e-05,0.0004476588600238709,128,0.1,0.001,1
395012,LSTM,2,0.1074970775467804,0.47430245411235883,1.277482440037471,64.97966579473402,0.025101892032305034,0.22652683854009528,4.960597359696518e-05,0.0004476588600238709,128,0.1,0.001,1
395012,LSTM,3,0.05742567744385951,0.507189160404186,1.3138084535685974,69.71206195765319,0.025101892032305034,0.22652683854009528,4.960597359696518e-05,0.0004476588600238709,128,0.1,0.001,1
395012,LSTM,4,0.03636889838698543,0.5221242384487652,1.3283937896141744,73.83523269739334,0.025101892032305034,0.22652683854009528,4.960597359696518e-05,0.0004476588600238709,128,0.1,0.001,1
395038,LSTM,1,0.8140971745679488,0.7663790953320081,1.5403424711482172,26.646821405652997,0.03307879341610305,0.29851273703302034,4.791619607818874e-05,0.00043240981191738025,128,0.1,0.01,0
395038,LSTM,2,0.7381573857139858,0.968112977566051,1.8288151984228318,55.109701375113104,0.03307879341610305,0.29851273703302034,4.791619607818874e-05,0.00043240981191738025,128,0.1,0.01,0
395038,LSTM,3,0.7225524338679246,1.0079402747659232,1.8776774974471808,36.758026464059114,0.03307879341610305,0.29851273703302034,4.791619607818874e-05,0.00043240981191738025,128,0.1,0.01,0
395038,LSTM,4,0.6941632958250911,1.0731653275193018,1.9694725747195756,44.92378047767572,0.03307879341610305,0.29851273703302034,4.791619607818874e-05,0.00043240981191738025,128,0.1,0.01,0
395053,LSTM,1,0.6915453148535933,0.15813227731483073,0.29847041691905396,64.97059576973362,0.017739846232316125,0.1600895772327557,4.800994751823415e-05,0.0004332558524188188,128,0.1,0.01,0
395053,LSTM,2,0.5663420578330227,0.1934709438030886,0.35394590552292715,62.35217073609301,0.017739846232316125,0.1600895772327557,4.800994751823415e-05,0.0004332558524188188,128,0.1,0.01,0
395053,LSTM,3,0.4772673207618984,0.2134265253077834,0.38868056699121195,66.91928846731095,0.017739846232316125,0.1600895772327557,4.800994751823415e-05,0.0004332558524188188,128,0.1,0.01,0
395053,LSTM,4,0.45984797802127686,0.2234315207016331,0.395178635281518,70.83892119903987,0.017739846232316125,0.1600895772327557,4.800994751823415e-05,0.0004332558524188188,128,0.1,0.01,0
395079,LSTM,1,0.03102747234375791,0.339972149676047,0.8905855473709372,106.24095713946889,0.025726121532861527,0.23216006870069605,2.3896619892069387e-05,0.00021565010912238196,96,0.1,0.01,1
395079,LSTM,2,0.024901803239379183,0.35070711801369503,0.8932358128230372,110.28274147303091,0.025726121532861527,0.23216006870069605,2.3896619892069387e-05,0.00021565010912238196,96,0.1,0.01,1
395079,LSTM,3,-0.016907239135824037,0.37340997925185754,0.9088329253775551,112.90016582514096,0.025726121532861527,0.23216006870069605,2.3896619892069387e-05,0.00021565010912238196,96,0.1,0.01,1
395079,LSTM,4,-0.005073718199449129,0.3749566102313171,0.9012551640244623,113.92934517902829,0.025726121532861527,0.23216006870069605,2.3896619892069387e-05,0.00021565010912238196,96,0.1,0.01,1
395103,LSTM,1,0.6522149966243012,0.6247785149083718,1.371401399488907,22.626090553871812,0.014455125828329645,0.13044729657735304,2.4518053330720768e-05,0.00022125810679999252,128,0.1,0.01,0
395103,LSTM,2,0.5367401616580596,0.7773184520081602,1.5830595102451392,29.128659529758245,0.014455125828329645,0.13044729657735304,2.4518053330720768e-05,0.00022125810679999252,128,0.1,0.01,0
395103,LSTM,3,0.4865042906802164,0.8342556160007304,1.6670635380285364,31.259460737321643,0.014455125828329645,0.13044729657735304,2.4518053330720768e-05,0.00022125810679999252,128,0.1,0.01,0
395103,LSTM,4,0.4609148886738088,0.8639189449801249,1.7084126638712962,33.01989013420339,0.014455125828329645,0.13044729657735304,2.4518053330720768e-05,0.00022125810679999252,128,0.1,0.01,0
395111,LSTM,1,0.46696507621569483,0.3844582688002481,0.9177056979792076,37.980812461473434,0.019987360033140195,0.1803718011870573,2.5663362909000104e-05,0.0002315937164657267,128,0.1,0.001,1
395111,LSTM,2,0.28636588345030023,0.47752735878896263,1.0618986057119904,44.84183365135304,0.019987360033140195,0.1803718011870573,2.5663362909000104e-05,0.0002315937164657267,128,0.1,0.001,1
395111,LSTM,3,0.20462825313048993,0.5274366301213946,1.1211096254238178,50.58215981664005,0.019987360033140195,0.1803718011870573,2.5663362909000104e-05,0.0002315937164657267,128,0.1,0.001,1
395111,LSTM,4,0.1990509407085661,0.5691632164267365,1.1252109344467007,59.14388769022647,0.019987360033140195,0.1803718011870573,2.5663362909000104e-05,0.0002315937164657267,128,0.1,0.001,1
395137,LSTM,1,0.4654374248418962,0.11728977031309733,0.2607002157867766,35.839974803503154,0.014130001455327907,0.1275132788446008,2.2649115158181544e-05,0.00020439226038860002,64,0.1,0.01,1
395137,LSTM,2,0.2619277477540649,0.1517835118507614,0.3063650227110883,45.739196272285355,0.014130001455327907,0.1275132788446008,2.2649115158181544e-05,0.00020439226038860002,64,0.1,0.01,1
395137,LSTM,3,0.1728041703513563,0.17162841303361995,0.32440231927366225,52.37884345548235,0.014130001455327907,0.1275132788446008,2.2649115158181544e-05,0.00020439226038860002,64,0.1,0.01,1
395137,LSTM,4,0.15169443620272172,0.18026265759036883,0.3287459899254734,55.72849895442382,0.014130001455327907,0.1275132788446008,2.2649115158181544e-05,0.00020439226038860002,64,0.1,0.01,1
395145,LSTM,1,0.19769372058808699,0.3591431596972644,0.9617342291894806,56.85967818418433,0.013356722006738648,0.1205349782220215,1.621769682942633e-05,0.00014635325442575108,64,0.1,0.01,0
395145,LSTM,2,0.040066989123143326,0.40928823701328665,1.0519867623623724,54.31858767344506,0.013356722006738648,0.1205349782220215,1.621769682942633e-05,0.00014635325442575108,64,0.1,0.01,0
395145,LSTM,3,0.00976569733993582,0.4418124879265599,1.0685855557609991,60.53320889642168,0.013356722006738648,0.1205349782220215,1.621769682942633e-05,0.00014635325442575108,64,0.1,0.01,0
395145,LSTM,4,-0.020031356584731208,0.45537996940809,1.0846900471506273,66.57124809956474,0.013356722006738648,0.1205349782220215,1.621769682942633e-05,0.00014635325442575108,64,0.1,0.01,0
