spring_id,spring_type,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],lstm_units,dropout,learning_rate,n_dense_layers
395012,TRAIN,LSTM_LARGE,1,0.167557365659457,0.524496685651465,1.23137157385933,61.1363951592447,0.557050076878418,5.0269833310329,2.1444942734612895e-05,0.000193525455136744,128,0.1,0.001,1
395012,TRAIN,LSTM_LARGE,2,-0.0103411120246335,0.592899940024537,1.35920238642027,69.6623101179153,0.557050076878418,5.0269833310329,2.1444942734612895e-05,0.000193525455136744,128,0.1,0.001,1
395012,TRAIN,LSTM_LARGE,3,-0.0550494186744572,0.615137832323424,1.38998671974617,74.4427103587274,0.557050076878418,5.0269833310329,2.1444942734612895e-05,0.000193525455136744,128,0.1,0.001,1
395012,TRAIN,LSTM_LARGE,4,-0.0693760755741657,0.642483564876745,1.39938322684433,81.2790533770176,0.557050076878418,5.0269833310329,2.1444942734612895e-05,0.000193525455136744,128,0.1,0.001,1
395038,TRAIN,LSTM_LARGE,1,0.7762269671915,0.851699376992651,1.68996678486696,27.5791707799802,0.557050076878418,5.0269833310329,1.769206151569618e-05,0.000159658353930045,128,0.1,0.001,1
395038,TRAIN,LSTM_LARGE,2,0.683655639448329,1.05501701379675,2.0101557403258,34.5127071642694,0.557050076878418,5.0269833310329,1.769206151569618e-05,0.000159658353930045,128,0.1,0.001,1
395038,TRAIN,LSTM_LARGE,3,0.650282543515949,1.13217117480986,2.10809023945044,38.4540140802429,0.557050076878418,5.0269833310329,1.769206151569618e-05,0.000159658353930045,128,0.1,0.001,1
395038,TRAIN,LSTM_LARGE,4,0.645719363311102,1.14539736313038,2.11972168808343,38.0758000073859,0.557050076878418,5.0269833310329,1.769206151569618e-05,0.000159658353930045,128,0.1,0.001,1
395053,UNSEEN,LSTM_LARGE,1,0.728069071632432,0.139214361344047,0.280243087677076,48.7936696593261,0.557050076878418,5.0269833310329,1.680242111026923e-05,0.000151629977892911,128,0.1,0.001,1
395053,UNSEEN,LSTM_LARGE,2,0.593629715947571,0.183024407894479,0.342629073345275,59.9670099325207,0.557050076878418,5.0269833310329,1.680242111026923e-05,0.000151629977892911,128,0.1,0.001,1
395053,UNSEEN,LSTM_LARGE,3,0.526533983126874,0.204013890058681,0.369911138215284,66.2014664004803,0.557050076878418,5.0269833310329,1.680242111026923e-05,0.000151629977892911,128,0.1,0.001,1
395053,UNSEEN,LSTM_LARGE,4,0.493282980975653,0.214677399951906,0.38275264413622,71.1698957281595,0.557050076878418,5.0269833310329,1.680242111026923e-05,0.000151629977892911,128,0.1,0.001,1
395079,TRAIN,LSTM_LARGE,1,0.246097160382267,0.312496319912353,0.785556814798115,89.388641431609,0.557050076878418,5.0269833310329,1.895807067499575e-05,0.000171083192027901,128,0.1,0.001,1
395079,TRAIN,LSTM_LARGE,2,0.121183268562823,0.357081677686692,0.847990737943058,99.8353767236678,0.557050076878418,5.0269833310329,1.895807067499575e-05,0.000171083192027901,128,0.1,0.001,1
395079,TRAIN,LSTM_LARGE,3,0.0711244541662729,0.376864181542905,0.868604645260983,105.917741720375,0.557050076878418,5.0269833310329,1.895807067499575e-05,0.000171083192027901,128,0.1,0.001,1
395079,TRAIN,LSTM_LARGE,4,0.0591509219865843,0.396398138062951,0.871984549097114,108.622586893764,0.557050076878418,5.0269833310329,1.895807067499575e-05,0.000171083192027901,128,0.1,0.001,1
