spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],embedding_dim,dropout,learning_rate,architecture,frozen_layers
395053,xLSTM_TRANSFER,1,0.7752123845566183,0.12452065036046485,0.25479552531523086,43.33778368619437,0.0008292291225389423,0.007483206895814013,2.2256902623982514e-05,0.00020085281940568274,64,0.1,0.0001,slstm_first,"input_proj, backbone (except mLSTM)"
395053,xLSTM_TRANSFER,2,0.6487172780686252,0.1739572327227274,0.3185602877360631,59.27709676401224,0.0008292291225389423,0.007483206895814013,2.2256902623982514e-05,0.00020085281940568274,64,0.1,0.0001,slstm_first,"input_proj, backbone (except mLSTM)"
395053,xLSTM_TRANSFER,3,0.584179648196815,0.19310418344318472,0.34666170808504215,66.1582118396243,0.0008292291225389423,0.007483206895814013,2.2256902623982514e-05,0.00020085281940568274,64,0.1,0.0001,slstm_first,"input_proj, backbone (except mLSTM)"
395053,xLSTM_TRANSFER,4,0.5428176924675705,0.20669560104156764,0.36356340446994745,69.01516653656698,0.0008292291225389423,0.007483206895814013,2.2256902623982514e-05,0.00020085281940568274,64,0.1,0.0001,slstm_first,"input_proj, backbone (except mLSTM)"
396705,xLSTM_TRANSFER,1,0.9750058033637813,0.009070726010323476,0.018239943253827672,7.790345282928263,0.0010443630200917139,0.009424638307148268,2.7746997472118657e-05,0.0002503970460971615,64,0.1,0.0001,slstm_first,"input_proj, backbone (except mLSTM)"
396705,xLSTM_TRANSFER,2,0.9279792691193031,0.014989787187633285,0.03096345795105538,10.269344112990206,0.0010443630200917139,0.009424638307148268,2.7746997472118657e-05,0.0002503970460971615,64,0.1,0.0001,slstm_first,"input_proj, backbone (except mLSTM)"
396705,xLSTM_TRANSFER,3,0.8858853163637221,0.019524950169838427,0.03897691132141067,13.603623164391196,0.0010443630200917139,0.009424638307148268,2.7746997472118657e-05,0.0002503970460971615,64,0.1,0.0001,slstm_first,"input_proj, backbone (except mLSTM)"
396705,xLSTM_TRANSFER,4,0.8470704154287501,0.02353419179442849,0.04512304675006361,17.0501066415972,0.0010443630200917139,0.009424638307148268,2.7746997472118657e-05,0.0002503970460971615,64,0.1,0.0001,slstm_first,"input_proj, backbone (except mLSTM)"
395285,xLSTM_TRANSFER,1,0.9138378677720685,0.007459147788752206,0.018254968813404916,8.427994523204571,0.0016023688019512305,0.01446024620033237,2.7533131550746474e-05,0.0002484670572749023,64,0.1,0.0001,slstm_first,"input_proj, backbone (except mLSTM)"
395285,xLSTM_TRANSFER,2,0.8352296551967633,0.012059108390355615,0.02525128775348958,13.960979183422628,0.0016023688019512305,0.01446024620033237,2.7533131550746474e-05,0.0002484670572749023,64,0.1,0.0001,slstm_first,"input_proj, backbone (except mLSTM)"
