spring_id,model,horizon,nse,mae,rmse,smape,emissions [kg CO₂],energy [kWh]
395012,BASELINE_LASTKNOWN,1,0.00894307648334658,0.48484069894516774,1.3435729949244655,38.453205024129105,3.7779393163550256e-06,3.409323282997352e-05
395012,BASELINE_LASTKNOWN,2,-0.47467788105935305,0.6352202983939942,1.6420965884850525,54.62680605373921,3.7779393163550256e-06,3.409323282997352e-05
395012,BASELINE_LASTKNOWN,3,-0.6667903037889056,0.6988133552694099,1.7470878053108048,63.780917838167085,3.7779393163550256e-06,3.409323282997352e-05
395012,BASELINE_LASTKNOWN,4,-0.7642194937316533,0.7382196985175331,1.797412429102527,70.24019266209726,3.7779393163550256e-06,3.409323282997352e-05
395038,BASELINE_LASTKNOWN,1,0.7490877004641661,0.8808046115874254,1.789514700121941,21.993527293534935,3.7915328135066663e-06,3.421590453657245e-05
395038,BASELINE_LASTKNOWN,2,0.593012976473569,1.201528204728501,2.2800267338270466,31.676389039127915,3.7915328135066663e-06,3.421590453657245e-05
395038,BASELINE_LASTKNOWN,3,0.5360764172249577,1.3308721616004158,2.4280284252438014,36.657083307444964,3.7915328135066663e-06,3.421590453657245e-05
395038,BASELINE_LASTKNOWN,4,0.5274416541717479,1.3703390478046247,2.4481208569370123,39.918905416329935,3.7915328135066663e-06,3.421590453657245e-05
395053,BASELINE_LASTKNOWN,1,0.7288126761021163,0.14254621628249145,0.2798596581948596,,3.82628611190368e-06,3.452952849784933e-05
395053,BASELINE_LASTKNOWN,2,0.5112148131746168,0.20485528200098088,0.3757701327903511,,3.82628611190368e-06,3.452952849784933e-05
395053,BASELINE_LASTKNOWN,3,0.40341305476593525,0.23633152525747914,0.4152311008549508,,3.82628611190368e-06,3.452952849784933e-05
395053,BASELINE_LASTKNOWN,4,0.34812455556089916,0.25418636218734675,0.4341279674869315,,3.82628611190368e-06,3.452952849784933e-05
395079,BASELINE_LASTKNOWN,1,-0.04419876112857457,0.33699377438698813,0.9245097545468542,,3.784293481616805e-06,3.41505746815941e-05
395079,BASELINE_LASTKNOWN,2,-0.3433958957826142,0.4253832094303199,1.0484409106949846,,3.784293481616805e-06,3.41505746815941e-05
395079,BASELINE_LASTKNOWN,3,-0.5023430915783835,0.4685952519817636,1.104658261730045,,3.784293481616805e-06,3.41505746815941e-05
395079,BASELINE_LASTKNOWN,4,-0.6047617655324824,0.4984885622458618,1.1388173945415114,,3.784293481616805e-06,3.41505746815941e-05
395103,BASELINE_LASTKNOWN,1,0.5933757462396276,0.6360447630659345,1.4828792987328234,18.18129838967871,3.778200194773024e-06,3.40955870733587e-05
395103,BASELINE_LASTKNOWN,2,0.42808038922131364,0.8445902432702279,1.7589456071552085,25.520108270181634,3.778200194773024e-06,3.40955870733587e-05
395103,BASELINE_LASTKNOWN,3,0.31258586412446365,0.9646694635382665,1.9288256489608202,30.046763669888666,3.778200194773024e-06,3.40955870733587e-05
395103,BASELINE_LASTKNOWN,4,0.2607944851671655,1.0268030067969742,2.00053757285905,32.810416006447205,3.778200194773024e-06,3.40955870733587e-05
395111,BASELINE_LASTKNOWN,1,0.24217307739456206,0.4448112610882839,1.0942350229032196,30.48020681870981,3.7789856430872913e-06,3.4102675189395476e-05
395111,BASELINE_LASTKNOWN,2,-0.10789978970587555,0.6016468962405438,1.3231085884156133,44.198604805867845,3.7789856430872913e-06,3.4102675189395476e-05
395111,BASELINE_LASTKNOWN,3,-0.27741081507098,0.6808863090895128,1.4207847785106453,52.58719881025867,3.7789856430872913e-06,3.4102675189395476e-05
395111,BASELINE_LASTKNOWN,4,-0.3627791674519263,0.723428213202258,1.4677234701051804,57.33190175366077,3.7789856430872913e-06,3.4102675189395476e-05
395137,BASELINE_LASTKNOWN,1,0.35408329844854414,0.12871975621170864,0.28656976831746095,29.489160464313848,3.787716596165044e-06,3.418146587161178e-05
395137,BASELINE_LASTKNOWN,2,-0.062170114983893576,0.1850095813478557,0.3675249107482039,45.04860331919694,3.787716596165044e-06,3.418146587161178e-05
395137,BASELINE_LASTKNOWN,3,-0.2980037222851142,0.21439012402144317,0.4063663623449691,53.86243479358016,3.787716596165044e-06,3.418146587161178e-05
