spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],lstm_units,dropout,learning_rate,n_dense_layers
395012,LSTM_ENERGY,1,0.28482146453279955,0.367972586685862,1.1413509431663482,48.02274138803494,0.0029222984091116806,0.026371678239826737,2.137545085333504e-05,0.00019289834001132587,128,0.1,0.001,1
395012,LSTM_ENERGY,2,0.10559651916142809,0.45260288414014527,1.2788418970912063,57.89868748186423,0.0029222984091116806,0.026371678239826737,2.137545085333504e-05,0.00019289834001132587,128,0.1,0.001,1
395012,LSTM_ENERGY,3,0.04345738042726699,0.4779002756743967,1.3235075169142296,61.56395208071646,0.0029222984091116806,0.026371678239826737,2.137545085333504e-05,0.00019289834001132587,128,0.1,0.001,1
395012,LSTM_ENERGY,4,0.028588858132174044,0.4987715540939667,1.3337455163624632,68.76149523420804,0.0029222984091116806,0.026371678239826737,2.137545085333504e-05,0.00019289834001132587,128,0.1,0.001,1
395038,LSTM_ENERGY,1,0.8096573990289319,0.7875848883254363,1.5586273571109568,37.96764127014469,0.0012971683552131337,0.011706027823819928,1.9162917815506888e-05,0.00017293179272557927,128,0.1,0.01,0
395038,LSTM_ENERGY,2,0.745092732495455,0.9789154688215341,1.8044330243262898,60.98506075903794,0.0012971683552131337,0.011706027823819928,1.9162917815506888e-05,0.00017293179272557927,128,0.1,0.01,0
395038,LSTM_ENERGY,3,0.7175276782833745,1.0215724301133202,1.8946041823974096,39.55451470674024,0.0012971683552131337,0.011706027823819928,1.9162917815506888e-05,0.00017293179272557927,128,0.1,0.01,0
395038,LSTM_ENERGY,4,0.6988824954549426,1.0675243516243875,1.95421857251984,43.28683342093193,0.0012971683552131337,0.011706027823819928,1.9162917815506888e-05,0.00017293179272557927,128,0.1,0.01,0
395053,LSTM_ENERGY,1,0.7282351883091508,0.18093878074077438,0.2801574774038884,68.37059654024809,0.0006471986785056866,0.005840510761521195,2.0703512666464732e-05,0.00018683457266780432,128,0.1,0.01,0
395053,LSTM_ENERGY,2,0.5743414750711944,0.22969456442650663,0.35066620091829825,76.45473895097331,0.0006471986785056866,0.005840510761521195,2.0703512666464732e-05,0.00018683457266780432,128,0.1,0.01,0
395053,LSTM_ENERGY,3,0.49213418223007255,0.22301139900822486,0.38311353337274806,73.02618803543355,0.0006471986785056866,0.005840510761521195,2.0703512666464732e-05,0.00018683457266780432,128,0.1,0.01,0
