spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],embedding_dim,dropout,learning_rate,architecture,frozen_layers
395053,xLSTM_TRANSFER,1,0.7748396672511924,0.12326618350831953,0.2550066743331473,46.119869172499136,0.0011123738244856317,0.010038387760221201,2.1349671503215332e-05,0.00019266569959224033,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395053,xLSTM_TRANSFER,2,0.6265224851810101,0.17508507858529343,0.3284698184619112,58.61996559706241,0.0011123738244856317,0.010038387760221201,2.1349671503215332e-05,0.00019266569959224033,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395053,xLSTM_TRANSFER,3,0.5534849184544588,0.19643383928657912,0.3592287341524835,68.20165888090648,0.0011123738244856317,0.010038387760221201,2.1349671503215332e-05,0.00019266569959224033,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395053,xLSTM_TRANSFER,4,0.5109247466081792,0.20959806286072785,0.37603069572460757,71.65798224459031,0.0011123738244856317,0.010038387760221201,2.1349671503215332e-05,0.00019266569959224033,64,0.1,0.0001,slstm_first,"input_proj, backbone"
396705,xLSTM_TRANSFER,1,0.9723278881173525,0.008863200984142323,0.01919221252828673,6.234809976131645,0.0005976835239877769,0.005393671479512841,2.7058129375825422e-05,0.00024418049828380884,64,0.1,0.0001,slstm_first,"input_proj, backbone"
396705,xLSTM_TRANSFER,2,0.9247405720471781,0.015240490156448929,0.03165199951012098,11.700502121031304,0.0005976835239877769,0.005393671479512841,2.7058129375825422e-05,0.00024418049828380884,64,0.1,0.0001,slstm_first,"input_proj, backbone"
396705,xLSTM_TRANSFER,3,0.8864490469752967,0.01862359629685217,0.038880518461190616,12.306693865741213,0.0005976835239877769,0.005393671479512841,2.7058129375825422e-05,0.00024418049828380884,64,0.1,0.0001,slstm_first,"input_proj, backbone"
396705,xLSTM_TRANSFER,4,0.8505190055940235,0.02299269097952121,0.04461137926560551,17.395928813653523,0.0005976835239877769,0.005393671479512841,2.7058129375825422e-05,0.00024418049828380884,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395285,xLSTM_TRANSFER,1,0.9176008269925874,0.00708560650455452,0.01785189414334584,7.791960342490638,0.0008807784487515173,0.007948403140016581,2.7077586070805e-05,0.00024435608120785656,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395285,xLSTM_TRANSFER,2,0.8445327277899963,0.0114120405335515,0.024528076668803495,12.731693627242075,0.0008807784487515173,0.007948403140016581,2.7077586070805e-05,0.00024435608120785656,64,0.1,0.0001,slstm_first,"input_proj, backbone"
