spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],hidden_size,learning_rate,lstm_layers,type_flag
395012,TFT_LARGE_WEATHER,1,0.6939290325542213,0.25098521501716725,0.746660255172655,35.66979710080438,0.1720185790697692,1.5523461274028911,8.465584817416154e-05,0.0007639592117655267,96,0.0001,2,TRAIN
395012,TFT_LARGE_WEATHER,2,0.6765970430985364,0.2783264437909574,0.7689925084333712,39.20071857491975,0.1720185790697692,1.5523461274028911,8.465584817416154e-05,0.0007639592117655267,96,0.0001,2,TRAIN
395012,TFT_LARGE_WEATHER,3,0.6759913512671715,0.2894720327436677,0.7702869693529141,41.24330022608201,0.1720185790697692,1.5523461274028911,8.465584817416154e-05,0.0007639592117655267,96,0.0001,2,TRAIN
395012,TFT_LARGE_WEATHER,4,0.6960438590621865,0.2881876703643746,0.7460653895686181,42.757139138366625,0.1720185790697692,1.5523461274028911,8.465584817416154e-05,0.0007639592117655267,96,0.0001,2,TRAIN
395038,TFT_LARGE_WEATHER,1,0.9280516833382233,0.5007975490263196,0.9582627660872876,18.520825143195236,0.1720185790697692,1.5523461274028911,7.789267343112133e-05,0.000702926338583559,96,0.0001,2,TRAIN
395038,TFT_LARGE_WEATHER,2,0.9013286214101623,0.6055238460802208,1.1226522628804156,22.28320079734011,0.1720185790697692,1.5523461274028911,7.789267343112133e-05,0.000702926338583559,96,0.0001,2,TRAIN
395038,TFT_LARGE_WEATHER,3,0.890040377311402,0.6470052323463861,1.1820807974229284,24.130528517721167,0.1720185790697692,1.5523461274028911,7.789267343112133e-05,0.000702926338583559,96,0.0001,2,TRAIN
395038,TFT_LARGE_WEATHER,4,0.8895975797348852,0.6540512169273341,1.1832988220981708,24.615338695058412,0.1720185790697692,1.5523461274028911,7.789267343112133e-05,0.000702926338583559,96,0.0001,2,TRAIN
395053,TFT_LARGE_WEATHER,1,0.7799495526122465,0.1324535231042379,0.25209645264626757,44.949054450385475,0.1720185790697692,1.5523461274028911,8.217183562892497e-05,0.000741542753753429,96,0.0001,2,UNSEEN
395053,TFT_LARGE_WEATHER,2,0.6888132096277468,0.17006165344040824,0.29982912479903323,55.634456291763435,0.1720185790697692,1.5523461274028911,8.217183562892497e-05,0.000741542753753429,96,0.0001,2,UNSEEN
395053,TFT_LARGE_WEATHER,3,0.6187709246098199,0.19507596457109197,0.33192962080348365,63.10052769424429,0.1720185790697692,1.5523461274028911,8.217183562892497e-05,0.000741542753753429,96,0.0001,2,UNSEEN
395053,TFT_LARGE_WEATHER,4,0.5777500708083222,0.21081693047806596,0.34939786486744834,68.59360083320499,0.1720185790697692,1.5523461274028911,8.217183562892497e-05,0.000741542753753429,96,0.0001,2,UNSEEN
395079,TFT_LARGE_WEATHER,1,0.5379285052947506,0.2323399764824502,0.6149991277023245,86.27628491415994,0.1720185790697692,1.5523461274028911,9.773664963074275e-05,0.0008820042019884377,96,0.0001,2,TRAIN
395079,TFT_LARGE_WEATHER,2,0.48159977307406954,0.2606323700329153,0.651290197806386,93.14200627059238,0.1720185790697692,1.5523461274028911,9.773664963074275e-05,0.0008820042019884377,96,0.0001,2,TRAIN
395079,TFT_LARGE_WEATHER,3,0.44315334930758465,0.2752347647237595,0.6725292672211857,96.82726421060396,0.1720185790697692,1.5523461274028911,9.773664963074275e-05,0.0008820042019884377,96,0.0001,2,TRAIN
395079,TFT_LARGE_WEATHER,4,0.412846635123147,0.2849904636210695,0.6888498764517947,99.28420315835224,0.1720185790697692,1.5523461274028911,9.773664963074275e-05,0.0008820042019884377,96,0.0001,2,TRAIN
395103,TFT_LARGE_WEATHER,1,0.7836140499547781,0.47661501271475887,1.08174199994866,17.331657439593467,0.1720185790697692,1.5523461274028911,0.00010417960923278533,0.0009401473597876163,96,0.0001,2,UNSEEN
395103,TFT_LARGE_WEATHER,2,0.7295479917314542,0.5824132835308528,1.209567253860075,21.76459953271578,0.1720185790697692,1.5523461274028911,0.00010417960923278533,0.0009401473597876163,96,0.0001,2,UNSEEN
395103,TFT_LARGE_WEATHER,3,0.6961361117225118,0.6464906740169755,1.2823993482081355,24.48153463460833,0.1720185790697692,1.5523461274028911,0.00010417960923278533,0.0009401473597876163,96,0.0001,2,UNSEEN
