spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],hidden_size,learning_rate,lstm_layers
395012,TFT,1,0.5579132833050338,0.3047167876992396,0.8956257695403453,37.65460006027874,0.0076758852034763,0.06926944016420876,7.62437717729461e-05,0.0006880461662360222,96,0.0001,2
395012,TFT,2,0.2717127561385788,0.3831927757189365,1.1495630781974373,43.54737515302981,0.0076758852034763,0.06926944016420876,7.62437717729461e-05,0.0006880461662360222,96,0.0001,2
395012,TFT,3,0.16542696409437896,0.4128481703933089,1.230614835825861,46.00528214609033,0.0076758852034763,0.06926944016420876,7.62437717729461e-05,0.0006880461662360222,96,0.0001,2
395012,TFT,4,0.11734273412079321,0.4279833326706048,1.2655925223352824,47.711875325285156,0.0076758852034763,0.06926944016420876,7.62437717729461e-05,0.0006880461662360222,96,0.0001,2
395038,TFT,1,0.8910944483250941,0.606304548790166,1.1785650798262195,24.115580631655007,0.008207402230442942,0.07406600576149643,6.218227883024265e-05,0.0005611511283095933,64,0.0001,2
395038,TFT,2,0.8029001325066782,0.8214282370792421,1.5855396710245422,30.10726958916652,0.008207402230442942,0.07406600576149643,6.218227883024265e-05,0.0005611511283095933,64,0.0001,2
395038,TFT,3,0.7671503193212288,0.9114490541166121,1.7233630747243625,32.383076927740746,0.008207402230442942,0.07406600576149643,6.218227883024265e-05,0.0005611511283095933,64,0.0001,2
395038,TFT,4,0.7531464056215912,0.9441853445194923,1.7744484340016733,32.73319982576691,0.008207402230442942,0.07406600576149643,6.218227883024265e-05,0.0005611511283095933,64,0.0001,2
395053,TFT,1,0.9372660214291806,0.06970902544113486,0.13459118697081232,34.39619935011608,0.003792390033719492,0.034223640343279536,7.483356744234698e-05,0.0006753200686058097,96,0.0001,2
395053,TFT,2,0.8467946884539912,0.09927686932761706,0.21033016967763943,38.23706819902434,0.003792390033719492,0.034223640343279536,7.483356744234698e-05,0.0006753200686058097,96,0.0001,2
395053,TFT,3,0.7792703987809464,0.11632537151455047,0.252461484599392,40.80828040539929,0.003792390033719492,0.034223640343279536,7.483356744234698e-05,0.0006753200686058097,96,0.0001,2
395053,TFT,4,0.7445034646207453,0.12611254583186068,0.27161769700306493,43.54267794653331,0.003792390033719492,0.034223640343279536,7.483356744234698e-05,0.0006753200686058097,96,0.0001,2
395079,TFT,1,0.270975382366876,0.28110543555605855,0.7725920709629759,87.73643012402897,0.00550307380993228,0.04966135265072627,8.86484751042565e-05,0.0007999898486107688,96,0.001,2
395079,TFT,2,0.08397414990124175,0.3256671072871274,0.866024884186224,95.56825821746122,0.00550307380993228,0.04966135265072627,8.86484751042565e-05,0.0007999898486107688,96,0.001,2
395079,TFT,3,0.03462904017418211,0.34500940807999847,0.8890390045861619,100.73957993506255,0.00550307380993228,0.04966135265072627,8.86484751042565e-05,0.0007999898486107688,96,0.001,2
395079,TFT,4,0.0013974958590299291,0.3604765563316122,0.9042058423190247,105.37187785925913,0.00550307380993228,0.04966135265072627,8.86484751042565e-05,0.0007999898486107688,96,0.001,2
395103,TFT,1,0.8109183833354716,0.4385830668007199,1.0110708152686985,14.43970235510811,0.0062653538183523585,0.05654039109800706,8.325983074396236e-05,0.0007513611408869288,64,0.0001,2
395103,TFT,2,0.699215530778267,0.5780770575183203,1.2752252634002568,19.05167342525777,0.0062653538183523585,0.05654039109800706,8.325983074396236e-05,0.0007513611408869288,64,0.0001,2
395103,TFT,3,0.6243883696254731,0.6694390260688233,1.4250531257618357,22.18081148091946,0.0062653538183523585,0.05654039109800706,8.325983074396236e-05,0.0007513611408869288,64,0.0001,2
395103,TFT,4,0.5857299113070309,0.7154473525843618,1.4965995567667978,24.048076075104905,0.0062653538183523585,0.05654039109800706,8.325983074396236e-05,0.0007513611408869288,64,0.0001,2
395111,TFT,1,0.640947653870934,0.30391068552373507,0.7531052500817327,25.382601853789918,0.01131794004686807,0.10213641164195278,8.781840802100113e-05,0.0007924990797115939,96,0.0001,2
395111,TFT,2,0.4495669326826365,0.36602242531769347,0.9324618387715091,29.129426750982937,0.01131794004686807,0.10213641164195278,8.781840802100113e-05,0.0007924990797115939,96,0.0001,2
395111,TFT,3,0.37407332250169656,0.39466646677751605,0.9943575130197926,32.34376955975702,0.01131794004686807,0.10213641164195278,8.781840802100113e-05,0.0007924990797115939,96,0.0001,2
395111,TFT,4,0.3336900840946776,0.41350554611343854,1.0259376940897313,35.23788763099104,0.01131794004686807,0.10213641164195278,8.781840802100113e-05,0.0007924990797115939,96,0.0001,2
395137,TFT,1,0.7957542235947108,0.07198614295611007,0.16107141090309754,18.551031012290384,0.008127021558465064,0.07334062699405357,7.58729602594476e-05,0.0006846998543429195,64,0.001,2
395137,TFT,2,0.5676306085416725,0.10331034348670491,0.2343588656675756,25.75796982288483,0.008127021558465064,0.07334062699405357,7.58729602594476e-05,0.0006846998543429195,64,0.001,2
395137,TFT,3,0.4168704115491688,0.12159956407174347,0.27217491948708233,30.625330218162947,0.008127021558465064,0.07334062699405357,7.58729602594476e-05,0.0006846998543429195,64,0.001,2
395137,TFT,4,0.3445835124225016,0.13092001830987182,0.2885609890867615,33.41569735554024,0.008127021558465064,0.07334062699405357,7.58729602594476e-05,0.0006846998543429195,64,0.001,2
395145,TFT,1,0.6041510016970835,0.2499078477137504,0.6755812177252852,28.91619994337919,0.005883831562412698,0.053097422322606745,5.463073208512001e-05,0.0004930037548742014,96,0.0001,2
395145,TFT,2,0.30328507444910136,0.316373197218912,0.8962737559771838,35.65251589356386,0.005883831562412698,0.053097422322606745,5.463073208512001e-05,0.0004930037548742014,96,0.0001,2
395145,TFT,3,0.20107041984426277,0.33813679257614343,0.9597697590919088,38.45650841025889,0.005883831562412698,0.053097422322606745,5.463073208512001e-05,0.0004930037548742014,96,0.0001,2
395145,TFT,4,0.1754666378965627,0.3446860804153965,0.9750261767988557,39.462514205292145,0.005883831562412698,0.053097422322606745,5.463073208512001e-05,0.0004930037548742014,96,0.0001,2
395210,TFT,1,0.594700120627246,0.3320919556481115,0.9375461111942831,21.060672643098478,0.010365027559435545,0.09353704977290858,8.360021775679794e-05,0.0007544328931595671,64,0.0001,2
395210,TFT,2,0.38608721736524565,0.42265031538934644,1.1538760416858491,26.6780429378358,0.010365027559435545,0.09353704977290858,8.360021775679794e-05,0.0007544328931595671,64,0.0001,2
395210,TFT,3,0.31760517321986315,0.4690678358831448,1.2165363861962868,30.640551472084688,0.010365027559435545,0.09353704977290858,8.360021775679794e-05,0.0007544328931595671,64,0.0001,2
395210,TFT,4,0.28759639028007844,0.49107863042249644,1.2430016983074628,32.59177284302811,0.010365027559435545,0.09353704977290858,8.360021775679794e-05,0.0007544328931595671,64,0.0001,2
395244,TFT,1,0.9582379400345559,0.02873475598969406,0.06021586417046452,5.640424171749478,0.007025940334050477,0.0634041469700978,6.397626883458389e-05,0.0005773406204615375,64,0.0001,2
395244,TFT,2,0.9155807762047828,0.04135035736118363,0.08561294826703224,8.099945619993273,0.007025940334050477,0.0634041469700978,6.397626883458389e-05,0.0005773406204615375,64,0.0001,2
395244,TFT,3,0.8707629214322907,0.05069216534979048,0.10592806343910141,9.743320812751,0.007025940334050477,0.0634041469700978,6.397626883458389e-05,0.0005773406204615375,64,0.0001,2
395244,TFT,4,0.8337239250187627,0.057217990687429714,0.12015215317345639,10.902198639110004,0.007025940334050477,0.0634041469700978,6.397626883458389e-05,0.0005773406204615375,64,0.0001,2
395251,TFT,1,0.8932923638208817,0.12985541254836766,0.29576481063909243,10.068992871101683,0.0046297545170422266,0.04178026312170367,8.391435957296427e-05,0.0007572678010771783,64,0.0001,2
395251,TFT,2,0.7680523447701492,0.18418795296385654,0.4360580483586863,13.517683006381363,0.0046297545170422266,0.04178026312170367,8.391435957296427e-05,0.0007572678010771783,64,0.0001,2
395251,TFT,3,0.6766533431290495,0.21751637575465327,0.5148540271658023,16.09446169866939,0.0046297545170422266,0.04178026312170367,8.391435957296427e-05,0.0007572678010771783,64,0.0001,2
395251,TFT,4,0.6430335792099806,0.230850353967015,0.5409589016085034,17.30687107314521,0.0046297545170422266,0.04178026312170367,8.391435957296427e-05,0.0007572678010771783,64,0.0001,2
395285,TFT,1,0.9673963400285494,0.006537458982504677,0.011226816375998722,6.993975426852213,0.004801049896947833,0.04332608288766409,9.477757961206103e-05,0.0008553006859551406,96,0.0001,2
395285,TFT,2,0.9458657528748805,0.00819497278441899,0.014466515409566245,8.378251144314302,0.004801049896947833,0.04332608288766409,9.477757961206103e-05,0.0008553006859551406,96,0.0001,2
395285,TFT,3,0.9333886235348835,0.009147994168743949,0.01604746511166313,9.312610168206392,0.004801049896947833,0.04332608288766409,9.477757961206103e-05,0.0008553006859551406,96,0.0001,2
395285,TFT,4,0.9265209300413195,0.009669954205580374,0.01685459405143683,9.895810878807502,0.004801049896947833,0.04332608288766409,9.477757961206103e-05,0.0008553006859551406,96,0.0001,2
395327,TFT,1,0.9920066758132906,0.005777703449712473,0.010613304890582875,2.8805760162682277,0.008825992310641333,0.07964834413819201,9.516446763370629e-05,0.0008587920769745723,96,0.001,2
395327,TFT,2,0.9835330478818324,0.007647926857496104,0.015233332708820551,3.294084825565569,0.008825992310641333,0.07964834413819201,9.516446763370629e-05,0.0008587920769745723,96,0.001,2
