spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],hidden_size,learning_rate,lstm_layers,frozen_layers
395053,TFT_TRANSFER,1,0.8800933484371457,0.09868620131148598,0.1860918032665706,39.13573027867923,0.005348695274630511,0.04826819545383633,8.186600050705164e-05,0.000738782807882284,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395053,TFT_TRANSFER,2,0.8337156901041507,0.12001905795368283,0.2191739207138324,45.94899175223725,0.005348695274630511,0.04826819545383633,8.186600050705164e-05,0.000738782807882284,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395053,TFT_TRANSFER,3,0.8001445414268115,0.13169027702638553,0.2403316726999142,49.47191474139268,0.005348695274630511,0.04826819545383633,8.186600050705164e-05,0.000738782807882284,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395053,TFT_TRANSFER,4,0.7783837064473472,0.13914193407041517,0.2531257326674911,51.94755151513807,0.005348695274630511,0.04826819545383633,8.186600050705164e-05,0.000738782807882284,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
396705,TFT_TRANSFER,1,0.9764654485202987,0.00860053433306738,0.017699331140204652,5.80916541369136,0.003589645127244002,0.03239401082232973,0.0001035510230638601,0.000934474813773419,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
396705,TFT_TRANSFER,2,0.9339770567968121,0.013778447629023981,0.029646138559816262,8.60308801828225,0.003589645127244002,0.03239401082232973,0.0001035510230638601,0.000934474813773419,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
396705,TFT_TRANSFER,3,0.9146510153373988,0.01655666752985707,0.033708221193015635,10.401449822867772,0.003589645127244002,0.03239401082232973,0.0001035510230638601,0.000934474813773419,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
396705,TFT_TRANSFER,4,0.9021533073349975,0.01856760370269972,0.036093228978565366,11.775207568017514,0.003589645127244002,0.03239401082232973,0.0001035510230638601,0.000934474813773419,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395285,TFT_TRANSFER,1,0.9567791285937319,0.005644422968645848,0.01292913993956533,6.093778139632429,0.004105771488777934,0.03705168653916484,0.00010311944428514601,0.0009305801202500272,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395285,TFT_TRANSFER,2,0.9301194812583244,0.007942145487215339,0.016444552742667626,8.585289036142786,0.004105771488777934,0.03705168653916484,0.00010311944428514601,0.0009305801202500272,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395285,TFT_TRANSFER,3,0.9118200181967512,0.009677274185692608,0.018478031152443695,10.53012308890336,0.004105771488777934,0.03705168653916484,0.00010311944428514601,0.0009305801202500272,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395285,TFT_TRANSFER,4,0.8966421405720545,0.010957453653988631,0.02001047426123448,12.004977277896879,0.004105771488777934,0.03705168653916484,0.00010311944428514601,0.0009305801202500272,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395145,TFT_TRANSFER,1,0.6869405106639824,0.1964683946331979,0.6007564107747856,19.5106099319733,0.005420360933743483,0.04891492738822044,5.992910278458525e-05,0.0005408178065966254,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395145,TFT_TRANSFER,2,0.6081828802483793,0.23279997587847,0.6720963168577982,25.158290682908678,0.005420360933743483,0.04891492738822044,5.992910278458525e-05,0.0005408178065966254,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395145,TFT_TRANSFER,3,0.6183748418877576,0.2402895551107042,0.6633745633358812,27.92753712562881,0.005420360933743483,0.04891492738822044,5.992910278458525e-05,0.0005408178065966254,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395145,TFT_TRANSFER,4,0.6113908888439397,0.24659074546562657,0.6695074025760679,29.228332581040085,0.005420360933743483,0.04891492738822044,5.992910278458525e-05,0.0005408178065966254,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395137,TFT_TRANSFER,1,0.7592653434432768,0.07484630718338249,0.1749489835915123,22.483395219858906,0.005097204034770005,0.045998664718351845,9.41591362366156e-05,0.0008497196714851785,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395137,TFT_TRANSFER,2,0.7036349109676139,0.09295080236631822,0.19413474231926803,29.02068483633141,0.005097204034770005,0.045998664718351845,9.41591362366156e-05,0.0008497196714851785,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395137,TFT_TRANSFER,3,0.6874312707517698,0.10017741626214902,0.19941257701343273,32.794751916685854,0.005097204034770005,0.045998664718351845,9.41591362366156e-05,0.0008497196714851785,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395137,TFT_TRANSFER,4,0.6853611243094733,0.10304198046691358,0.20021218118177522,35.01611469206721,0.005097204034770005,0.045998664718351845,9.41591362366156e-05,0.0008497196714851785,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395251,TFT_TRANSFER,1,0.8876095298801666,0.12330945321066011,0.3035500282348165,9.274435185323695,0.004950755395274841,0.0446770692278349,0.00010239333958841683,0.0009240275384292029,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395251,TFT_TRANSFER,2,0.8047434343209232,0.16396191858573664,0.40014695938783085,12.12275989118684,0.004950755395274841,0.0446770692278349,0.00010239333958841683,0.0009240275384292029,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395251,TFT_TRANSFER,3,0.7607173778092966,0.1851858100662831,0.4430291058665602,13.802953173696539,0.004950755395274841,0.0446770692278349,0.00010239333958841683,0.0009240275384292029,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395251,TFT_TRANSFER,4,0.730792293016091,0.1941288670416642,0.4699496803057519,14.488871091052188,0.004950755395274841,0.0446770692278349,0.00010239333958841683,0.0009240275384292029,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395103,TFT_TRANSFER,1,0.8178498530068671,0.4222585407295532,0.9924849406748222,13.37274606658577,0.009056885720820524,0.08173199401527384,0.00010323194196255916,0.0009315953322975776,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395103,TFT_TRANSFER,2,0.7762983088016778,0.505419401276219,1.1000680444935056,16.46571736073719,0.009056885720820524,0.08173199401527384,0.00010323194196255916,0.0009315953322975776,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395103,TFT_TRANSFER,3,0.7691563455430316,0.5307946156176693,1.1177449430158894,17.827303763342112,0.009056885720820524,0.08173199401527384,0.00010323194196255916,0.0009315953322975776,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
395103,TFT_TRANSFER,4,0.7678996327376683,0.5405762109471017,1.120990745257358,18.42989816255951,0.009056885720820524,0.08173199401527384,0.00010323194196255916,0.0009315953322975776,96,0.0001,2,"variable_selection, input embeddings (except lstm, multihead_attn, output)"
