spring_id,spring_type,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units
395012,TRAIN,TRANSFORMER_LARGE,1,0.2373605192093502,0.41457948951200296,1.1786140350852077,58.37912793332006,0.398871578417623,3.5995341516949697,4.0106000126830335e-05,0.00036192831215780185,8,4,16,2,64
395012,TRAIN,TRANSFORMER_LARGE,2,0.064090572428803,0.4792498484604348,1.3081785588115828,58.405381173889644,0.398871578417623,3.5995341516949697,4.0106000126830335e-05,0.00036192831215780185,8,4,16,2,64
395012,TRAIN,TRANSFORMER_LARGE,3,-0.009883298638541316,0.5217354840449233,1.3599089894772072,82.06401264966165,0.398871578417623,3.5995341516949697,4.0106000126830335e-05,0.00036192831215780185,8,4,16,2,64
395012,TRAIN,TRANSFORMER_LARGE,4,-0.008151002626707315,0.5370349106542743,1.3587333193036926,70.49548508968243,0.398871578417623,3.5995341516949697,4.0106000126830335e-05,0.00036192831215780185,8,4,16,2,64
395038,TRAIN,TRANSFORMER_LARGE,1,0.7986513442277324,0.7954149219572697,1.603055882993432,22.83782637389999,0.398871578417623,3.5995341516949697,3.244990410044748e-05,0.0002928374553337859,8,4,16,2,64
395038,TRAIN,TRANSFORMER_LARGE,2,0.7064128740096833,1.0367495161027473,1.9365029452644338,31.28615258376318,0.398871578417623,3.5995341516949697,3.244990410044748e-05,0.0002928374553337859,8,4,16,2,64
395038,TRAIN,TRANSFORMER_LARGE,3,0.670775412276875,1.132692956725531,2.0453925659810195,39.43329198162272,0.398871578417623,3.5995341516949697,3.244990410044748e-05,0.0002928374553337859,8,4,16,2,64
395038,TRAIN,TRANSFORMER_LARGE,4,0.6647491018133809,1.154230692692247,2.0620068806674365,36.971600786609095,0.398871578417623,3.5995341516949697,3.244990410044748e-05,0.0002928374553337859,8,4,16,2,64
395053,UNSEEN,TRANSFORMER_LARGE,1,0.7396524618564604,0.1284486103459107,0.27420940367762453,48.044309553312765,0.398871578417623,3.5995341516949697,3.417763803332293e-05,0.00030842903325743536,8,4,16,2,64
395053,UNSEEN,TRANSFORMER_LARGE,2,0.6119472898873553,0.17485333330110558,0.3348178481138002,57.80878897156881,0.398871578417623,3.5995341516949697,3.417763803332293e-05,0.00030842903325743536,8,4,16,2,64
395053,UNSEEN,TRANSFORMER_LARGE,3,0.541093074849796,0.19814477759470744,0.36417934263255825,66.71254930183123,0.398871578417623,3.5995341516949697,3.417763803332293e-05,0.00030842903325743536,8,4,16,2,64
395053,UNSEEN,TRANSFORMER_LARGE,4,0.5025600574576381,0.21323017258981658,0.37923270280293403,71.0992075569977,0.398871578417623,3.5995341516949697,3.417763803332293e-05,0.00030842903325743536,8,4,16,2,64
395079,TRAIN,TRANSFORMER_LARGE,1,0.26805983158945457,0.2869463869631473,0.774029836577821,91.76671328764314,0.398871578417623,3.5995341516949697,3.926629180237187e-05,0.000354350537869291,8,4,16,2,64
395079,TRAIN,TRANSFORMER_LARGE,2,0.1373419263487663,0.3304496417665589,0.8401586363519968,100.59535888461231,0.398871578417623,3.5995341516949697,3.926629180237187e-05,0.000354350537869291,8,4,16,2,64
395079,TRAIN,TRANSFORMER_LARGE,3,0.06332642702660773,0.360565208128205,0.8722430476802651,118.99443579134636,0.398871578417623,3.5995341516949697,3.926629180237187e-05,0.000354350537869291,8,4,16,2,64
395079,TRAIN,TRANSFORMER_LARGE,4,0.0610274748525087,0.3728045367975419,0.8711145148466709,110.2765238159785,0.398871578417623,3.5995341516949697,3.926629180237187e-05,0.000354350537869291,8,4,16,2,64
395103,UNSEEN,TRANSFORMER_LARGE,1,0.6794378687472051,0.549749912506862,1.3166346224072571,17.2300198529237,0.398871578417623,3.5995341516949697,4.0225591946279105e-05,0.0003630075438244875,8,4,16,2,64
395103,UNSEEN,TRANSFORMER_LARGE,2,0.5722956872453697,0.7113481456938601,1.5210963710905185,23.93879697405211,0.398871578417623,3.5995341516949697,4.0225591946279105e-05,0.0003630075438244875,8,4,16,2,64
395103,UNSEEN,TRANSFORMER_LARGE,3,0.4988976481681038,0.8214493842501023,1.646823151173539,30.174947633517515,0.398871578417623,3.5995341516949697,4.0225591946279105e-05,0.0003630075438244875,8,4,16,2,64
395103,UNSEEN,TRANSFORMER_LARGE,4,0.471335317531667,0.8539647999327978,1.6918204196716693,29.944164033582428,0.398871578417623,3.5995341516949697,4.0225591946279105e-05,0.0003630075438244875,8,4,16,2,64
395111,TRAIN,TRANSFORMER_LARGE,1,0.43175864570998956,0.3891588581999116,0.9475279168788823,35.776847556695934,0.398871578417623,3.5995341516949697,4.1157045997375545e-05,0.00037141325846817624,8,4,16,2,64
395111,TRAIN,TRANSFORMER_LARGE,2,0.24901643376151017,0.4882032105905106,1.0893325108866199,43.47432161033757,0.398871578417623,3.5995341516949697,4.1157045997375545e-05,0.00037141325846817624,8,4,16,2,64
395111,TRAIN,TRANSFORMER_LARGE,3,0.14909262846047677,0.5686788819023626,1.1595891532110107,72.52100847454491,0.398871578417623,3.5995341516949697,4.1157045997375545e-05,0.00037141325846817624,8,4,16,2,64
395111,TRAIN,TRANSFORMER_LARGE,4,0.1482307384790228,0.5706512175350562,1.160359274090764,54.12443894060135,0.398871578417623,3.5995341516949697,4.1157045997375545e-05,0.00037141325846817624,8,4,16,2,64
395137,UNSEEN,TRANSFORMER_LARGE,1,0.46511917498535815,0.11233048977481579,0.26077780769571185,31.09361515047563,0.398871578417623,3.5995341516949697,3.815723610592084e-05,0.0003443420938699856,8,4,16,2,64
395137,UNSEEN,TRANSFORMER_LARGE,2,0.21825645881696953,0.14921406723024438,0.31529849129913406,40.899111849471005,0.398871578417623,3.5995341516949697,3.815723610592084e-05,0.0003443420938699856,8,4,16,2,64
395137,UNSEEN,TRANSFORMER_LARGE,3,0.09174981666821713,0.17119495492799497,0.33992454856933907,51.43203736983683,0.398871578417623,3.5995341516949697,3.815723610592084e-05,0.0003443420938699856,8,4,16,2,64
395137,UNSEEN,TRANSFORMER_LARGE,4,0.07855420638125865,0.18021302116928814,0.34262512119571736,54.177549605567364,0.398871578417623,3.5995341516949697,3.815723610592084e-05,0.0003443420938699856,8,4,16,2,64
395145,UNSEEN,TRANSFORMER_LARGE,1,0.20665703280347947,0.3242437721850673,0.956346924961388,33.575677861013425,0.398871578417623,3.5995341516949697,2.910930445518089e-05,0.00026269090401022355,8,4,16,2,64
395145,UNSEEN,TRANSFORMER_LARGE,2,0.05995806488868716,0.3911398748307893,1.0410304325154993,42.54630290099874,0.398871578417623,3.5995341516949697,2.910930445518089e-05,0.00026269090401022355,8,4,16,2,64
395145,UNSEEN,TRANSFORMER_LARGE,3,0.011483510392651053,0.43220447084103253,1.067658286833971,57.44856284898723,0.398871578417623,3.5995341516949697,2.910930445518089e-05,0.00026269090401022355,8,4,16,2,64
395145,UNSEEN,TRANSFORMER_LARGE,4,0.012311716015944607,0.43255624431168993,1.0673548922229417,51.51775507817932,0.398871578417623,3.5995341516949697,2.910930445518089e-05,0.00026269090401022355,8,4,16,2,64
395210,TRAIN,TRANSFORMER_LARGE,1,0.36725411854141,0.42523154623986237,1.1715316381893515,29.84698565196237,0.398871578417623,3.5995341516949697,3.7308609621376894e-05,0.0003366838394882946,8,4,16,2,64
395210,TRAIN,TRANSFORMER_LARGE,2,0.2656180956201313,0.5188951378093177,1.2622872903016729,39.7857634396993,0.398871578417623,3.5995341516949697,3.7308609621376894e-05,0.0003366838394882946,8,4,16,2,64
395210,TRAIN,TRANSFORMER_LARGE,3,0.2027730176642194,0.5903030216601528,1.3153540855629198,63.92694484666415,0.398871578417623,3.5995341516949697,3.7308609621376894e-05,0.0003366838394882946,8,4,16,2,64
395210,TRAIN,TRANSFORMER_LARGE,4,0.21830783565827294,0.5811364916645323,1.3025919527898189,46.68263220007159,0.398871578417623,3.5995341516949697,3.7308609621376894e-05,0.0003366838394882946,8,4,16,2,64
