spring_id,model,horizon,nse,mae,rmse,smape,emissions [kg CO₂],energy [kWh]
395012,BASELINE,1,-0.03325281887868026,0.6165353461224958,1.371877286129468,67.43451353329446,3.8729327215132505e-06,3.4950481188979994e-05
395012,BASELINE,2,-0.10667604551266319,0.6621547545583257,1.4225265162106313,74.55434906813383,3.8729327215132505e-06,3.4950481188979994e-05
395012,BASELINE,3,-0.1446637011991354,0.6921524633045868,1.4478154445659273,79.68914880587694,3.8729327215132505e-06,3.4950481188979994e-05
395012,BASELINE,4,-0.170869325802401,0.7151336803835024,1.4642851113589457,84.01128104250373,3.8729327215132505e-06,3.4950481188979994e-05
395038,BASELINE,1,0.719958041489196,1.1511046928933302,1.8905399021835763,36.155711914696695,4.028867762374499e-06,3.635768474871403e-05
395038,BASELINE,2,0.6906045162620946,1.2322467581638399,1.9879554290805588,39.69415968493645,4.028867762374499e-06,3.635768474871403e-05
395038,BASELINE,3,0.6704809666046339,1.2860092376266563,2.0463070213602874,42.43733009967252,4.028867762374499e-06,3.635768474871403e-05
395038,BASELINE,4,0.6502661471972963,1.3349796464372317,2.1060756708613932,44.81338792001728,4.028867762374499e-06,3.635768474871403e-05
395053,BASELINE,1,0.5846525452187517,0.21288657314625617,0.34634696266627407,,3.879491402567004e-06,3.5009668651111825e-05
395053,BASELINE,2,0.522792755545876,0.23321373227830042,0.37129299394242954,,3.879491402567004e-06,3.5009668651111825e-05
395053,BASELINE,3,0.4740372782129515,0.2496039368019931,0.389879574990755,,3.879491402567004e-06,3.5009668651111825e-05
395053,BASELINE,4,0.43021432004060267,0.26473117463741663,0.40587398833026767,,3.879491402567004e-06,3.5009668651111825e-05
395079,BASELINE,1,0.10878936961721186,0.4092862679742493,0.8541026907106173,,4.0472952488797054e-06,3.652397979352151e-05
395079,BASELINE,2,0.058482152474946925,0.43308313707614304,0.8777204738651997,,4.0472952488797054e-06,3.652397979352151e-05
395079,BASELINE,3,0.03286091683975134,0.4458224719800229,0.8863144907673254,,4.0472952488797054e-06,3.652397979352151e-05
395079,BASELINE,4,0.021297274437933833,0.4547057878207346,0.8893530661633712,,4.0472952488797054e-06,3.652397979352151e-05
395103,BASELINE,1,0.5463822876642528,0.8601528417184624,1.5662250465404077,29.16336988999857,3.910226687399148e-06,3.528703287910288e-05
395103,BASELINE,2,0.4968488711572777,0.931113443784161,1.6498107959115758,32.32550544821667,3.910226687399148e-06,3.528703287910288e-05
395103,BASELINE,3,0.4609344851340781,0.9828751817989401,1.7080654899041043,34.74044941839703,3.910226687399148e-06,3.528703287910288e-05
395103,BASELINE,4,0.428745311972182,1.0278190813456254,1.7586483215105662,36.88267231819729,3.910226687399148e-06,3.528703287910288e-05
395111,BASELINE,1,0.19240053649149869,0.5996860355625104,1.1295971992494152,52.287146064521295,3.905306644208135e-06,3.5242632965817197e-05
395111,BASELINE,2,0.11874874273733138,0.6482681470702795,1.180035637417604,57.66894016614536,3.905306644208135e-06,3.5242632965817197e-05
395111,BASELINE,3,0.07514758627904627,0.6813175380032588,1.2089246096973165,61.63080742679906,3.905306644208135e-06,3.5242632965817197e-05
395111,BASELINE,4,0.042678053981240804,0.706494564866575,1.2301568903006093,64.83238652838656,3.905306644208135e-06,3.5242632965817197e-05
