spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units
395012,TRANSFORMER_ENERGY,1,0.28596987987277334,0.37771094150260615,1.1404341989693143,54.4375202816364,0.001907975900247412,0.017218134319815653,1.3866443088032277e-05,0.00012513485081067284,16,4,16,1,64
395012,TRANSFORMER_ENERGY,2,0.07595992984543842,0.45648221395069355,1.2998568223076488,58.53149368223226,0.001907975900247412,0.017218134319815653,1.3866443088032277e-05,0.00012513485081067284,16,4,16,1,64
395012,TRANSFORMER_ENERGY,3,0.008348812837887132,0.4894003648551219,1.3475773963970403,65.00509355359766,0.001907975900247412,0.017218134319815653,1.3866443088032277e-05,0.00012513485081067284,16,4,16,1,64
395012,TRANSFORMER_ENERGY,4,-0.0012924425069651413,0.5013058896467599,1.3541036270558169,69.19566571236544,0.001907975900247412,0.017218134319815653,1.3866443088032277e-05,0.00012513485081067284,16,4,16,1,64
395038,TRANSFORMER_ENERGY,1,0.8067158485089734,0.8066923473758367,1.5706246802912458,31.046744959164194,0.0011574414334889567,0.010445091086605754,1.5831365707905475e-05,0.00014286688903643536,16,4,16,2,32
395038,TRANSFORMER_ENERGY,2,0.7296319738895081,0.9960922713156733,1.8583491924195352,40.61968942528987,0.0011574414334889567,0.010445091086605754,1.5831365707905475e-05,0.00014286688903643536,16,4,16,2,32
395038,TRANSFORMER_ENERGY,3,0.6982560440248939,1.0674767853585587,1.9581674710591754,41.28502835768894,0.0011574414334889567,0.010445091086605754,1.5831365707905475e-05,0.00014286688903643536,16,4,16,2,32
395038,TRANSFORMER_ENERGY,4,0.6871354118098228,1.0901505244453145,1.991972507264214,37.7857942665305,0.0011574414334889567,0.010445091086605754,1.5831365707905475e-05,0.00014286688903643536,16,4,16,2,32
395053,TRANSFORMER_ENERGY,1,0.7058039089664309,0.1584587219555804,0.2914902653910684,56.43321245220189,0.000358468127198729,0.0032349215536108815,1.2109769690778724e-05,0.00010928211466969934,8,4,32,1,64
395053,TRANSFORMER_ENERGY,2,0.5405042382292224,0.20223225359628694,0.36433760187170083,65.93950238267689,0.000358468127198729,0.0032349215536108815,1.2109769690778724e-05,0.00010928211466969934,8,4,32,1,64
