spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],lstm_units,dropout,learning_rate
395012,xLSTM,1,0.27344834548433594,0.40693806619468964,1.1503903053534694,59.354026060789515,0.003554869508225285,0.03208018543321378,8.753109268065528e-06,7.899062617826164e-05,128,0.1,0.001
395012,xLSTM,2,0.09368246388750057,0.4844524212992808,1.287331232868294,69.04592148218764,0.003554869508225285,0.03208018543321378,8.753109268065528e-06,7.899062617826164e-05,128,0.1,0.001
395012,xLSTM,3,0.007502305587829383,0.5022746445639757,1.3481524390710566,65.59879181051328,0.003554869508225285,0.03208018543321378,8.753109268065528e-06,7.899062617826164e-05,128,0.1,0.001
395012,xLSTM,4,0.017539707833846174,0.5259736116250933,1.341309295742753,76.84823843095278,0.003554869508225285,0.03208018543321378,8.753109268065528e-06,7.899062617826164e-05,128,0.1,0.001
395038,xLSTM,1,0.7806954142725222,0.9049709391164676,1.6730085259012237,77.64020896406522,0.0025669290206567284,0.023164720613802915,8.350754295056042e-06,7.535965685174928e-05,128,0.1,0.01
395038,xLSTM,2,0.7561290683835012,0.9700704597730856,1.7649389171604442,39.31963765246442,0.0025669290206567284,0.023164720613802915,8.350754295056042e-06,7.535965685174928e-05,128,0.1,0.01
395038,xLSTM,3,0.7258059832071824,1.0287907138641756,1.866635545131364,38.79102649773158,0.0025669290206567284,0.023164720613802915,8.350754295056042e-06,7.535965685174928e-05,128,0.1,0.01
395038,xLSTM,4,0.7035032031814134,1.1138518052302098,1.9391666822757585,58.430593841341484,0.0025669290206567284,0.023164720613802915,8.350754295056042e-06,7.535965685174928e-05,128,0.1,0.01
395053,xLSTM,1,0.5882316351183758,0.1851393702427851,0.34485148100350294,63.77534629948498,0.0013292193317436872,0.011995265239718509,8.648145313649843e-06,7.804340065741836e-05,128,0.1,0.01
395053,xLSTM,2,0.42628035903741357,0.22909025005452674,0.407111245861303,71.5262981863816,0.0013292193317436872,0.011995265239718509,8.648145313649843e-06,7.804340065741836e-05,128,0.1,0.01
395053,xLSTM,3,0.3624507541199954,0.2522971854211635,0.4292495712008782,78.35186397319562,0.0013292193317436872,0.011995265239718509,8.648145313649843e-06,7.804340065741836e-05,128,0.1,0.01
395053,xLSTM,4,0.3271360202910132,0.26031121496247817,0.4410614428852996,84.51488539527806,0.0013292193317436872,0.011995265239718509,8.648145313649843e-06,7.804340065741836e-05,128,0.1,0.01
395079,xLSTM,1,0.038697510311407335,0.37487211587153296,0.8870537669217288,108.64061340877755,0.0027464244816622447,0.0247845403174949,1.556882878941337e-05,0.00014049767885620124,96,0.1,0.01
395079,xLSTM,2,-0.004245146646565612,0.3846937581657351,0.9064875028828326,114.21698181443163,0.0027464244816622447,0.0247845403174949,1.556882878941337e-05,0.00014049767885620124,96,0.1,0.01
395079,xLSTM,3,-0.06931907273021687,0.40119236735987324,0.9319594993379001,124.18061061469845,0.0027464244816622447,0.0247845403174949,1.556882878941337e-05,0.00014049767885620124,96,0.1,0.01
395079,xLSTM,4,-0.053886688707489805,0.3987210297530246,0.9228811325946797,120.87927233899002,0.0027464244816622447,0.0247845403174949,1.556882878941337e-05,0.00014049767885620124,96,0.1,0.01
