spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],embedding_dim,dropout,learning_rate,architecture
395012,xLSTM_LARGE,1,0.25988666571394425,0.3955885549297741,1.1610771533355106,52.79385728203229,0.05702078493917152,0.514572293065476,2.6229739450258704e-05,0.00023670486454769072,96,0.1,0.0001,slstm_first
395012,xLSTM_LARGE,2,0.05746509556073376,0.4726523549573306,1.3128008089020982,65.17056016757785,0.05702078493917152,0.514572293065476,2.6229739450258704e-05,0.00023670486454769072,96,0.1,0.0001,slstm_first
395012,xLSTM_LARGE,3,0.007624474970909123,0.49752662203636516,1.3480694625455405,65.91800763213402,0.05702078493917152,0.514572293065476,2.6229739450258704e-05,0.00023670486454769072,96,0.1,0.0001,slstm_first
395012,xLSTM_LARGE,4,-0.025665361475053272,0.516632387098247,1.3704849652676265,75.1659689084272,0.05702078493917152,0.514572293065476,2.6229739450258704e-05,0.00023670486454769072,96,0.1,0.0001,slstm_first
395038,xLSTM_LARGE,1,0.8109188746737018,0.7467610486775667,1.553453961290047,23.10225768574085,0.05702078493917152,0.514572293065476,2.2990848678933643e-05,0.00020747616394373934,96,0.1,0.0001,slstm_first
395038,xLSTM_LARGE,2,0.740638803830631,0.9512196272575089,1.8201289653454524,33.38911853602933,0.05702078493917152,0.514572293065476,2.2990848678933643e-05,0.00020747616394373934,96,0.1,0.0001,slstm_first
395038,xLSTM_LARGE,3,0.7108472879679804,1.0268145728438525,1.9168767052374733,36.9892568572149,0.05702078493917152,0.514572293065476,2.2990848678933643e-05,0.00020747616394373934,96,0.1,0.0001,slstm_first
395038,xLSTM_LARGE,4,0.6915586230611172,1.0785331675665697,1.9778413597236182,37.93176873065822,0.05702078493917152,0.514572293065476,2.2990848678933643e-05,0.00020747616394373934,96,0.1,0.0001,slstm_first
395053,xLSTM_LARGE,1,0.7239621782175747,0.13723239913118124,0.2823513720054927,50.34127213523826,0.05702078493917152,0.514572293065476,2.3904580388622677e-05,0.00021572194697887123,96,0.1,0.0001,slstm_first
395053,xLSTM_LARGE,2,0.5980022150773405,0.18130684769502367,0.340780762524229,60.81777903970685,0.05702078493917152,0.514572293065476,2.3904580388622677e-05,0.00021572194697887123,96,0.1,0.0001,slstm_first
395053,xLSTM_LARGE,3,0.5342762352670509,0.20285275740170167,0.36687422531147285,68.54719104203335,0.05702078493917152,0.514572293065476,2.3904580388622677e-05,0.00021572194697887123,96,0.1,0.0001,slstm_first
395053,xLSTM_LARGE,4,0.49420263213292304,0.21523584471850984,0.3824051534793236,72.54327139036673,0.05702078493917152,0.514572293065476,2.3904580388622677e-05,0.00021572194697887123,96,0.1,0.0001,slstm_first
395079,xLSTM_LARGE,1,0.29205924557712604,0.27785379509978575,0.7612343340560105,87.22297374140847,0.05702078493917152,0.514572293065476,2.7539466989811094e-05,0.0002485242301358255,96,0.1,0.0001,slstm_first
395079,xLSTM_LARGE,2,0.1648680109533024,0.3175332776302826,0.8266458885119744,105.63006293531947,0.05702078493917152,0.514572293065476,2.7539466989811094e-05,0.0002485242301358255,96,0.1,0.0001,slstm_first
395079,xLSTM_LARGE,3,0.13211074205499773,0.3356337096294434,0.8396060113694942,109.41242101135386,0.05702078493917152,0.514572293065476,2.7539466989811094e-05,0.0002485242301358255,96,0.1,0.0001,slstm_first
395079,xLSTM_LARGE,4,0.10631409725115248,0.348792574558831,0.8498480092898151,115.43026182181482,0.05702078493917152,0.514572293065476,2.7539466989811094e-05,0.0002485242301358255,96,0.1,0.0001,slstm_first
395103,xLSTM_LARGE,1,0.7065682092392267,0.5323909501020407,1.2596872836446809,17.325205521402566,0.05702078493917152,0.514572293065476,2.9369201352963755e-05,0.00026503628986900116,96,0.1,0.0001,slstm_first
395103,xLSTM_LARGE,2,0.6083455387128702,0.6760322544219699,1.4555812576738978,23.50048062872794,0.05702078493917152,0.514572293065476,2.9369201352963755e-05,0.00026503628986900116,96,0.1,0.0001,slstm_first
395103,xLSTM_LARGE,3,0.5556525275500068,0.7503379885446588,1.5507618223624957,26.323397329624015,0.05702078493917152,0.514572293065476,2.9369201352963755e-05,0.00026503628986900116,96,0.1,0.0001,slstm_first
395103,xLSTM_LARGE,4,0.5243758335187234,0.7972714745856908,1.6047081941810464,28.834209895581786,0.05702078493917152,0.514572293065476,2.9369201352963755e-05,0.00026503628986900116,96,0.1,0.0001,slstm_first
395111,xLSTM_LARGE,1,0.45085892910121694,0.3780912596566665,0.931467183855347,35.10812126369723,0.05702078493917152,0.514572293065476,2.9048380193551487e-05,0.00026214110559823385,96,0.1,0.0001,slstm_first
395111,xLSTM_LARGE,2,0.2662787138322197,0.4823764196070925,1.076739902552721,51.06772041130155,0.05702078493917152,0.514572293065476,2.9048380193551487e-05,0.00026214110559823385,96,0.1,0.0001,slstm_first
395111,xLSTM_LARGE,3,0.19704664236462754,0.5289203294207719,1.1264402502825508,54.14460484693951,0.05702078493917152,0.514572293065476,2.9048380193551487e-05,0.00026214110559823385,96,0.1,0.0001,slstm_first
395111,xLSTM_LARGE,4,0.16236940205321337,0.5554993541643929,1.1506884730071383,62.8359537646783,0.05702078493917152,0.514572293065476,2.9048380193551487e-05,0.00026214110559823385,96,0.1,0.0001,slstm_first
