spring_id,spring_type,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units
395012,TRAIN,TRANSFORMER_LARGE_ENERGY,1,0.23634351188996128,0.4487136077444329,1.179399635478981,72.85954963858377,0.08783316579707734,0.7926322582128049,1.9298249233089452e-05,0.00017415306314378816,8,4,16,2,64
395012,TRAIN,TRANSFORMER_LARGE_ENERGY,2,0.09760490353605777,0.5154396630166441,1.284542503826842,78.90564775225732,0.08783316579707734,0.7926322582128049,1.9298249233089452e-05,0.00017415306314378816,8,4,16,2,64
395012,TRAIN,TRANSFORMER_LARGE_ENERGY,3,0.06195943862331088,0.5472742073867183,1.3106449504105726,83.7730729683441,0.08783316579707734,0.7926322582128049,1.9298249233089452e-05,0.00017415306314378816,8,4,16,2,64
395012,TRAIN,TRANSFORMER_LARGE_ENERGY,4,0.05681631711036661,0.5822214908569548,1.3142245380009288,89.51341665961155,0.08783316579707734,0.7926322582128049,1.9298249233089452e-05,0.00017415306314378816,8,4,16,2,64
395038,TRAIN,TRANSFORMER_LARGE_ENERGY,1,0.7980459265074984,0.7759075933701879,1.6054641185669196,23.298556406636013,0.08783316579707734,0.7926322582128049,1.595095538979095e-05,0.00014394610141312268,8,4,16,2,64
395038,TRAIN,TRANSFORMER_LARGE_ENERGY,2,0.7248367726823104,0.9603075846315319,1.874756445289794,29.076558928472434,0.08783316579707734,0.7926322582128049,1.595095538979095e-05,0.00014394610141312268,8,4,16,2,64
395038,TRAIN,TRANSFORMER_LARGE_ENERGY,3,0.6886042360725069,1.0496306845997119,1.9892386651504206,32.89595890779253,0.08783316579707734,0.7926322582128049,1.595095538979095e-05,0.00014394610141312268,8,4,16,2,64
395038,TRAIN,TRANSFORMER_LARGE_ENERGY,4,0.6784629179795472,1.0943758746493084,2.0193921709534526,37.056241494362254,0.08783316579707734,0.7926322582128049,1.595095538979095e-05,0.00014394610141312268,8,4,16,2,64
395053,UNSEEN,TRANSFORMER_LARGE_ENERGY,1,0.7346860895819952,0.12825074099358197,0.27681244859184373,49.665426113538075,0.08783316579707734,0.7926322582128049,1.4289585156941322e-05,0.00012895340898947156,8,4,16,2,64
395053,UNSEEN,TRANSFORMER_LARGE_ENERGY,2,0.629327714885872,0.16924013460836632,0.32723390736527336,60.85845032499347,0.08783316579707734,0.7926322582128049,1.4289585156941322e-05,0.00012895340898947156,8,4,16,2,64
395053,UNSEEN,TRANSFORMER_LARGE_ENERGY,3,0.5709716001271208,0.19027445785665337,0.3521243211293859,67.75776467952575,0.08783316579707734,0.7926322582128049,1.4289585156941322e-05,0.00012895340898947156,8,4,16,2,64
395053,UNSEEN,TRANSFORMER_LARGE_ENERGY,4,0.5366187479269506,0.20579832813038612,0.3660198876453677,73.14547844396746,0.08783316579707734,0.7926322582128049,1.4289585156941322e-05,0.00012895340898947156,8,4,16,2,64
395079,TRAIN,TRANSFORMER_LARGE_ENERGY,1,0.26968563140332014,0.3117227385206554,0.7731697135778953,96.55571863515786,0.08783316579707734,0.7926322582128049,1.9385186338780135e-05,0.00017493760909269876,8,4,16,2,64
395079,TRAIN,TRANSFORMER_LARGE_ENERGY,2,0.17481462291072591,0.355012972019366,0.8217083725180564,102.56190978006336,0.08783316579707734,0.7926322582128049,1.9385186338780135e-05,0.00017493760909269876,8,4,16,2,64
395079,TRAIN,TRANSFORMER_LARGE_ENERGY,3,0.14323652124464448,0.3781746280280249,0.8342070496745915,105.68409866312551,0.08783316579707734,0.7926322582128049,1.9385186338780135e-05,0.00017493760909269876,8,4,16,2,64
395079,TRAIN,TRANSFORMER_LARGE_ENERGY,4,0.13342318341069126,0.40108394361853594,0.8368590959793653,108.11293099844949,0.08783316579707734,0.7926322582128049,1.9385186338780135e-05,0.00017493760909269876,8,4,16,2,64
395103,UNSEEN,TRANSFORMER_LARGE_ENERGY,1,0.6934035683821561,0.5245761195559099,1.2876348153484225,16.872257908004734,0.08783316579707734,0.7926322582128049,2.2870037040424882e-05,0.00020638592427196407,8,4,16,2,64
395103,UNSEEN,TRANSFORMER_LARGE_ENERGY,2,0.5978763934420912,0.6691506528616257,1.4749072145265685,22.10879008144308,0.08783316579707734,0.7926322582128049,2.2870037040424882e-05,0.00020638592427196407,8,4,16,2,64
395103,UNSEEN,TRANSFORMER_LARGE_ENERGY,3,0.5354325196158153,0.7562244385899959,1.5856529731845805,25.696164471495408,0.08783316579707734,0.7926322582128049,2.2870037040424882e-05,0.00020638592427196407,8,4,16,2,64
395103,UNSEEN,TRANSFORMER_LARGE_ENERGY,4,0.49559338147182586,0.8236127703646842,1.6525495931015977,29.051671576747424,0.08783316579707734,0.7926322582128049,2.2870037040424882e-05,0.00020638592427196407,8,4,16,2,64
395111,TRAIN,TRANSFORMER_LARGE_ENERGY,1,0.44040795891512985,0.4146850263945745,0.9402890108333848,47.30104294318367,0.08783316579707734,0.7926322582128049,1.8761199145579895e-05,0.00016930656558477328,8,4,16,2,64
395111,TRAIN,TRANSFORMER_LARGE_ENERGY,2,0.28921576592344367,0.5082342545040504,1.0597761499923242,54.0777418776796,0.08783316579707734,0.7926322582128049,1.8761199145579895e-05,0.00016930656558477328,8,4,16,2,64
395111,TRAIN,TRANSFORMER_LARGE_ENERGY,3,0.2332112902828839,0.5550735165602206,1.1007808258608855,59.26810589165686,0.08783316579707734,0.7926322582128049,1.8761199145579895e-05,0.00016930656558477328,8,4,16,2,64
395111,TRAIN,TRANSFORMER_LARGE_ENERGY,4,0.21522207105174407,0.5973427997676273,1.113794031402511,64.84785463296382,0.08783316579707734,0.7926322582128049,1.8761199145579895e-05,0.00016930656558477328,8,4,16,2,64
395137,UNSEEN,TRANSFORMER_LARGE_ENERGY,1,0.4553887071084334,0.11110807690551586,0.2631391313304498,32.73088237719441,0.08783316579707734,0.7926322582128049,2.2016872637173924e-05,0.0001986867183804455,8,4,16,2,64
395137,UNSEEN,TRANSFORMER_LARGE_ENERGY,2,0.2501124422624016,0.14506885252711585,0.30880748305693867,42.63700937294814,0.08783316579707734,0.7926322582128049,2.2016872637173924e-05,0.0001986867183804455,8,4,16,2,64
395137,UNSEEN,TRANSFORMER_LARGE_ENERGY,3,0.1650207964543794,0.1630928357742608,0.32592495316099945,49.14310265196387,0.08783316579707734,0.7926322582128049,2.2016872637173924e-05,0.0001986867183804455,8,4,16,2,64
395137,UNSEEN,TRANSFORMER_LARGE_ENERGY,4,0.1489893107104554,0.17325875606278207,0.3292697347656799,53.28817407632431,0.08783316579707734,0.7926322582128049,2.2016872637173924e-05,0.0001986867183804455,8,4,16,2,64
395145,UNSEEN,TRANSFORMER_LARGE_ENERGY,1,0.1986537797468776,0.3245853425918002,0.9611586396911509,37.67242219768796,0.08783316579707734,0.7926322582128049,1.2759624640714796e-05,0.00011514659640395262,8,4,16,2,64
395145,UNSEEN,TRANSFORMER_LARGE_ENERGY,2,0.09106656489389042,0.38483572985330605,1.0236602776653696,45.820963543827084,0.08783316579707734,0.7926322582128049,1.2759624640714796e-05,0.00011514659640395262,8,4,16,2,64
395145,UNSEEN,TRANSFORMER_LARGE_ENERGY,3,0.05988311561943205,0.41206001972909273,1.041193006706753,50.95672553354551,0.08783316579707734,0.7926322582128049,1.2759624640714796e-05,0.00011514659640395262,8,4,16,2,64
395145,UNSEEN,TRANSFORMER_LARGE_ENERGY,4,0.05896309141743716,0.4259369814206221,1.0418428668001256,55.00249039829075,0.08783316579707734,0.7926322582128049,1.2759624640714796e-05,0.00011514659640395262,8,4,16,2,64
395210,TRAIN,TRANSFORMER_LARGE_ENERGY,1,0.3755287639442877,0.4401702970939408,1.1638461588215039,38.11703714361903,0.08783316579707734,0.7926322582128049,1.9174274531879048e-05,0.00017303427906615752,8,4,16,2,64
