spring_id,spring_type,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],lstm_units,dropout,learning_rate,n_dense_layers
395012,TRAIN,LSTM_LARGE,1,0.167557365659457,0.5244966856514652,1.2313715738593307,61.13639515924471,0.5570500768784175,5.026983331032903,2.1856483147720252e-05,0.00019723931656968788,128,0.1,0.001,1
395012,TRAIN,LSTM_LARGE,2,-0.010341112024633503,0.5928999400245369,1.3592023864202656,69.66231011791533,0.5570500768784175,5.026983331032903,2.1856483147720252e-05,0.00019723931656968788,128,0.1,0.001,1
395012,TRAIN,LSTM_LARGE,3,-0.05504941867445723,0.6151378323234236,1.3899867197461664,74.44271035872742,0.5570500768784175,5.026983331032903,2.1856483147720252e-05,0.00019723931656968788,128,0.1,0.001,1
395012,TRAIN,LSTM_LARGE,4,-0.0693760755741657,0.6424835648767447,1.3993832268443256,81.27905337701755,0.5570500768784175,5.026983331032903,2.1856483147720252e-05,0.00019723931656968788,128,0.1,0.001,1
395038,TRAIN,LSTM_LARGE,1,0.7762269671915001,0.851699376992651,1.6899667848669573,27.579170779980196,0.5570500768784175,5.026983331032903,1.9550036756352747e-05,0.0001764252676276283,128,0.1,0.001,1
395038,TRAIN,LSTM_LARGE,2,0.6836556394483289,1.0550170137967516,2.0101557403258026,34.512707164269415,0.5570500768784175,5.026983331032903,1.9550036756352747e-05,0.0001764252676276283,128,0.1,0.001,1
395038,TRAIN,LSTM_LARGE,3,0.6502825435159489,1.1321711748098584,2.1080902394504424,38.454014080242885,0.5570500768784175,5.026983331032903,1.9550036756352747e-05,0.0001764252676276283,128,0.1,0.001,1
395038,TRAIN,LSTM_LARGE,4,0.6457193633111024,1.1453973631303833,2.1197216880834318,38.07580000738589,0.5570500768784175,5.026983331032903,1.9550036756352747e-05,0.0001764252676276283,128,0.1,0.001,1
395053,UNSEEN,LSTM_LARGE,1,0.7280690716324322,0.1392143613440466,0.28024308767707634,48.79366965932612,0.5570500768784175,5.026983331032903,2.07552928883877e-05,0.0001873018525826418,128,0.1,0.001,1
395053,UNSEEN,LSTM_LARGE,2,0.5936297159475707,0.18302440789447896,0.3426290733452753,59.967009932520725,0.5570500768784175,5.026983331032903,2.07552928883877e-05,0.0001873018525826418,128,0.1,0.001,1
395053,UNSEEN,LSTM_LARGE,3,0.5265339831268738,0.20401389005868098,0.36991113821528365,66.20146640048026,0.5570500768784175,5.026983331032903,2.07552928883877e-05,0.0001873018525826418,128,0.1,0.001,1
395053,UNSEEN,LSTM_LARGE,4,0.4932829809756526,0.21467739995190635,0.3827526441362204,71.16989572815949,0.5570500768784175,5.026983331032903,2.07552928883877e-05,0.0001873018525826418,128,0.1,0.001,1
395079,TRAIN,LSTM_LARGE,1,0.24609716038226703,0.3124963199123534,0.785556814798115,89.38864143160899,0.5570500768784175,5.026983331032903,2.4244828434390634e-05,0.00021879244517191852,128,0.1,0.001,1
395079,TRAIN,LSTM_LARGE,2,0.12118326856282258,0.3570816776866916,0.8479907379430582,99.8353767236678,0.5570500768784175,5.026983331032903,2.4244828434390634e-05,0.00021879244517191852,128,0.1,0.001,1
395079,TRAIN,LSTM_LARGE,3,0.07112445416627289,0.3768641815429045,0.8686046452609831,105.91774172037519,0.5570500768784175,5.026983331032903,2.4244828434390634e-05,0.00021879244517191852,128,0.1,0.001,1
395079,TRAIN,LSTM_LARGE,4,0.05915092198658434,0.3963981380629509,0.8719845490971144,108.62258689376351,0.5570500768784175,5.026983331032903,2.4244828434390634e-05,0.00021879244517191852,128,0.1,0.001,1
395103,UNSEEN,LSTM_LARGE,1,0.6705156052108576,0.578086151008058,1.3348319334646928,20.351571548753675,0.5570500768784175,5.026983331032903,2.4997210376044552e-05,0.0002255821605606302,128,0.1,0.001,1
395103,UNSEEN,LSTM_LARGE,2,0.557266609898869,0.7213301079469601,1.5475904957759865,25.318036782071385,0.5570500768784175,5.026983331032903,2.4997210376044552e-05,0.0002255821605606302,128,0.1,0.001,1
395103,UNSEEN,LSTM_LARGE,3,0.4958443293545437,0.7988475381058924,1.6518327462802078,28.704430333249014,0.5570500768784175,5.026983331032903,2.4997210376044552e-05,0.0002255821605606302,128,0.1,0.001,1
395103,UNSEEN,LSTM_LARGE,4,0.4709839922484267,0.8261996573003807,1.6923824778075933,29.048020361474382,0.5570500768784175,5.026983331032903,2.4997210376044552e-05,0.0002255821605606302,128,0.1,0.001,1
395111,TRAIN,LSTM_LARGE,1,0.4275181769722629,0.37570465985844315,0.9510567821793189,34.31609477929869,0.5570500768784175,5.026983331032903,2.2334744859357577e-05,0.00020155529057645,128,0.1,0.001,1
